mcs,ms,n_clusters,n_noise,healthy_recall,healthy_clusters,contamination
5,auto,15,26,0.8968,9,3
5,5,15,26,0.8968,9,3
5,3,15,30,0.8413,9,0
10,5,11,48,0.7817,5,1
20,3,8,42,0.7659,3,16
25,3,8,42,0.7659,3,16
10,3,11,41,0.7421,5,0
10,auto,9,25,0.7222,3,3
15,5,10,47,0.7143,4,0
15,3,9,64,0.6508,3,0
45,auto,2,207,0.3016,1,13
40,auto,2,114,0.2619,1,14
35,auto,2,103,0.2262,1,12
50,auto,2,90,0.1508,1,13
15,auto,2,3,0.0000,0,0
20,auto,2,4,0.0000,0,0
20,5,2,0,0.0000,0,0
25,auto,2,8,0.0000,0,0
25,5,2,0,0.0000,0,0
30,auto,2,20,0.0000,0,0
30,3,2,0,0.0000,0,0
30,5,2,0,0.0000,0,0
35,3,2,0,0.0000,0,0
35,5,2,0,0.0000,0,0
40,3,2,0,0.0000,0,0
40,5,2,0,0.0000,0,0
45,3,2,0,0.0000,0,0
45,5,2,0,0.0000,0,0
50,3,2,0,0.0000,0,0
50,5,2,0,0.0000,0,0
