mcs,ms,n_clusters,n_noise,silhouette,novel_recall,novel_purity,ari,nmi
5,3,7,12,0.3818,1.0000,1.0000,0.3988,0.6441
5,auto,7,17,0.4036,1.0000,1.0000,0.4151,0.6962
5,5,7,17,0.4036,1.0000,1.0000,0.4151,0.6962
10,3,6,19,0.3945,1.0000,1.0000,0.4028,0.6518
15,3,6,19,0.3945,1.0000,1.0000,0.4028,0.6518
10,5,6,26,0.4231,1.0000,1.0000,0.4233,0.7086
20,3,5,35,0.3966,1.0000,1.0000,0.3936,0.6418
25,3,5,35,0.3966,1.0000,1.0000,0.3936,0.6418
30,3,5,35,0.3966,1.0000,1.0000,0.3936,0.6418
15,5,5,40,0.4185,1.0000,1.0000,0.4065,0.6810
20,5,5,40,0.4185,1.0000,1.0000,0.4065,0.6810
25,5,5,40,0.4185,1.0000,1.0000,0.4065,0.6810
30,5,5,40,0.4185,1.0000,1.0000,0.4065,0.6810
35,3,4,15,0.3301,1.0000,1.0000,0.5697,0.7377
40,3,3,51,0.3378,1.0000,1.0000,0.5451,0.7023
45,3,3,51,0.3378,1.0000,1.0000,0.5451,0.7023
50,3,3,51,0.3378,1.0000,1.0000,0.5451,0.7023
35,5,3,59,0.3537,1.0000,1.0000,0.5697,0.7299
40,5,3,59,0.3537,1.0000,1.0000,0.5697,0.7299
45,5,3,59,0.3537,1.0000,1.0000,0.5697,0.7299
50,5,3,59,0.3537,1.0000,1.0000,0.5697,0.7299
10,auto,6,30,0.4226,0.9800,1.0000,0.4075,0.6813
15,auto,5,63,0.4486,0.9400,1.0000,0.3218,0.5815
20,auto,2,24,0.3493,0.9200,1.0000,0.5623,0.6015
25,auto,2,39,0.3528,0.8200,1.0000,0.5588,0.5136
30,auto,2,56,0.3567,0.7000,1.0000,0.5583,0.4717
